title,budget,genre,language,runtime,release_month,director_experience,lead_actor_popularity,supporting_cast_rating,marketing_budget,production_house_rating,competition_level,num_screens,franchise,ott_release,country,certification_rating,revenue,roi,revenue_budget_ratio,budget_category,runtime_category,release_season,genre_popularity,category
Movie_1,6375752.72,Adventure,Hindi,157,6,25,75.79,3.66,3125706.01,8.57,High,2809,No,Yes,Japan,R,34965535.92,448.41424151092235,5.484142415109224,Low,Epic,Summer,78,Super Hit
Movie_2,19677779.78,Drama,Telugu,102,11,2,86.21,7.42,7934771.42,6.13,High,2505,No,Yes,South Korea,UA,49383418.58,150.96031733311733,2.509603173331173,Medium,Standard,Fall,70,Average
Movie_3,10584148.2,Thriller,Hindi,154,5,10,49.64,6.29,1860572.0,4.78,Medium,1985,No,No,Germany,PG-13,16172589.35,52.800102987975926,1.5280010298797593,Medium,Epic,Spring,73,Flop
Movie_4,29418757.01,Sci-Fi,Tamil,108,8,5,35.99,3.05,12202010.52,7.99,Medium,1747,No,No,South Korea,R,86534052.51,194.1458487881912,2.941458487881912,Medium,Standard,Summer,77,Flop
Movie_5,11207480.06,Sci-Fi,Hindi,136,7,19,64.29,6.91,2483353.87,4.18,Medium,4922,No,No,Canada,PG-13,29322830.21,161.63624697985856,2.6163624697985854,Medium,Long,Summer,77,Super Hit
Movie_6,10409171.84,Drama,English,146,7,23,73.15,5.84,4430228.41,5.0,Low,977,No,No,France,UA,46617144.59,347.8468153524114,4.478468153524114,Medium,Long,Summer,70,Super Hit
Movie_7,13540714.75,Drama,Telugu,124,3,9,70.42,5.53,1828808.5,4.71,High,2148,No,Yes,Germany,R,20190476.89,49.109387966392255,1.4910938796639226,Medium,Long,Spring,70,Flop
Movie_8,6851528.72,Mystery,Tamil,107,6,27,56.46,4.42,1523661.11,7.48,Low,2584,No,No,USA,UA,35121943.07,412.6146952792749,5.126146952792749,Low,Standard,Summer,62,Super Hit
Movie_9,16910080.95,Horror,Hindi,88,10,2,59.52,5.31,2668574.39,4.62,Medium,4070,No,No,India,U,40569909.52,139.91552518262785,2.3991552518262784,Medium,Short,Fall,68,Flop
Movie_10,18827160.22,Drama,Spanish,128,1,3,58.93,6.43,8945359.59,7.43,Medium,4134,No,No,USA,U,57876294.91,207.40852169791543,3.0740852169791544,Medium,Long,Winter,70,Hit
Movie_11,6397878.43,Fantasy,English,94,4,4,73.78,4.97,2327350.18,8.36,High,1943,No,Yes,UK,A,8610183.91,34.57873581383447,1.3457873581383446,Low,Standard,Spring,75,Flop
Movie_12,7114590.67,Drama,English,160,3,28,43.27,6.61,1439893.81,9.62,Low,2899,No,No,India,U,67563858.67,849.6520854656561,9.496520854656563,Low,Epic,Spring,70,Blockbuster
Movie_13,41649561.29,Adventure,Telugu,131,1,23,72.93,5.62,5738754.24,8.48,Low,523,Yes,Yes,UK,UA,188210305.08,351.8902462609829,4.518902462609829,Medium,Long,Winter,78,Super Hit
Movie_14,45096060.94,Mystery,Hindi,167,4,9,82.19,9.8,13542188.11,4.86,Low,1284,Yes,No,Germany,UA,238621010.66,429.1393653593905,5.2913936535939055,Medium,Epic,Spring,62,Blockbuster
Movie_15,11214310.54,Drama,Spanish,99,1,21,79.12,3.92,1676556.49,9.57,Medium,4879,No,No,France,G,63217453.17,463.72126440151186,5.6372126440151185,Medium,Standard,Winter,70,Super Hit
Movie_16,16873563.86,Horror,Tamil,135,11,4,31.23,5.93,8208866.74,7.58,High,3822,No,No,UK,A,51915232.03,207.67200373756728,3.0767200373756727,Medium,Long,Fall,68,Average
Movie_17,12863022.29,Drama,Korean,103,10,18,89.42,7.22,3409069.14,6.25,Medium,1011,No,No,Germany,A,38674631.62,200.66519942258455,3.0066519942258454,Medium,Standard,Fall,70,Hit
Movie_18,5738719.71,Thriller,Hindi,90,6,18,31.69,8.77,1286241.46,4.86,High,3193,No,Yes,India,PG,13925187.85,142.65321454425938,2.426532145442594,Low,Standard,Summer,73,Average
Movie_19,21364277.68,Romance,English,85,7,20,51.49,5.23,6447963.22,9.25,High,2914,Yes,Yes,UK,G,104137899.23,387.439363922366,4.874393639223659,Medium,Short,Summer,74,Super Hit
Movie_20,18054872.91,Action,Telugu,117,11,3,86.68,3.36,8484648.25,4.59,High,4103,No,No,South Korea,G,54784928.87,203.43569374922836,3.0343569374922836,Medium,Standard,Fall,85,Average
Movie_21,16552538.14,Romance,French,133,12,25,57.02,5.7,5889811.99,5.6,Low,2451,No,Yes,France,PG-13,78479611.3,374.1243345052337,4.741243345052338,Medium,Long,Winter,74,Hit
Movie_22,11211325.85,Animation,Korean,148,10,28,93.31,6.37,2593678.37,7.21,High,2701,No,No,USA,PG,33603821.96,199.7310256574159,2.997310256574159,Medium,Long,Fall,72,Super Hit
